2026-06-12 08:20:45.961,p00.00,ln00.00,b62.29,v11.49,
2026-06-12 08:20:45.965,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.968,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.971,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.974,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.977,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.980,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.982,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.985,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.988,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.991,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.994,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.996,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:45.999,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.002,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.005,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.008,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.011,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.014,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.016,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.019,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.022,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.025,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.028,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.031,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.034,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.036,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.039,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.042,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.045,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.048,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.051,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.054,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.057,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.060,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.062,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.065,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.068,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.071,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.074,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.077,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.079,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.082,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.085,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.088,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.091,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.094,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.096,rp00.00,ln00.00,b62.07,v11.48,
2026-06-12 08:20:46.099,rp00.00,ln00.00,b62.07,v11.48,
